Keypoint,Valid_Ratio,Jitter_Score
R-Wrist,0.6228070175438597,230.2894129257151
L-Wrist,0.6228070175438597,218.39397908849992
R-Elbow,0.6228070175438597,210.6480110776734
R-Ankle,0.5526315789473685,198.48949970947297
L-Ankle,0.5526315789473685,192.11848609612156
R-Knee,0.6096491228070176,185.09192839049547
L-Knee,0.6008771929824561,184.1025209612105
L-Hip,0.6228070175438597,178.04211538057223
R-Hip,0.6228070175438597,175.93016524854215
L-Elbow,0.6228070175438597,173.62642212134526
R-Shoulder,0.6228070175438597,161.2047263164893
Nose,0.6096491228070176,156.40448493347319
L-Shoulder,0.6228070175438597,149.54882147095998
